MostRecentKeypress,AccelerometerXvalue,AccelerometerYvalue,AccelerometerZvalue,GyroscopeXvalue,GyroscopeYvalue,GyroscopeZvalue [NEWLINE]
9,0.114726685,0.026080035,-0.3397789,0.005326322,0.004261058,0.000532632
9,0.006277028,0.004971502,-0.208177567,0.006391587,0.000532632,0.000532632
9,0.006277028,0.004971502,-0.208177567,0.000532632,0.001065264,0.001065264
9,0.006277028,0.004971502,-0.208177567,-0.003195793,-0.001065264,0
9,0.006277028,0.004971502,-0.208177567,-0.001597897,-0.000532632,-0.001065264
9,0.006277028,0.004971502,-0.208177567,0.000532632,0.001597897,-0.001065264
9,0.006277028,0.004971502,-0.208177567,-0.050600063,0.038882151,-0.003728426
9,0.006277028,0.004971502,-0.208177567,0.002663161,0.109722242,-0.001597897
9,0.006277028,0.004971502,-0.208177567,-0.004261058,0.098536961,0.001597897
9,-0.042539861,0.070016749,-0.189106941,-0.013848438,-0.011717909,-0.005858955
9,-0.042539861,0.070016749,-0.189106941,0.001065264,-0.004261058,0.000532632
7,-0.042539861,0.070016749,-0.189106941,0.003728426,0.003195793,0
7,-0.042539861,0.070016749,-0.189106941,0.000532632,0.002130529,0
7,-0.042539861,0.070016749,-0.189106941,-0.002130529,0.001065264,0.000532632
7,-0.042539861,0.070016749,-0.189106941,-0.001065264,0,-0.000532632
7,-0.042539861,0.070016749,-0.189106941,-0.000532632,0,0
7,-0.042539861,0.070016749,-0.189106941,0.261522412,-0.049002163,0.01438107
7,0.10639441,-0.244615376,1.893843651,-0.063383237,-0.126766473,-0.001597897
7,0.10639441,-0.244615376,1.893843651,-0.084155895,-0.066046394,-0.000532632
7,0.10639441,-0.244615376,1.893843651,-0.006924219,0.006391587,-0.001597897
7,0.10639441,-0.244615376,1.893843651,0.013315806,0.00479369,-0.001065264
