MostRecentKeypress,AccelerometerXvalue,AccelerometerYvalue,AccelerometerZvalue,GyroscopeXvalue,GyroscopeYvalue,GyroscopeZvalue [NEWLINE]
none,-0.027833782,-0.061607584,-0.171583176,-0.000532632,0,-0.000532632
none,-0.027833782,-0.061607584,-0.171583176,-0.001597897,-0.001065264,0
none,-0.027833782,-0.061607584,-0.171583176,-0.000532632,-0.000532632,0.000532632
none,-0.029843755,-0.024811668,-0.253123283,-0.001065264,0.001597897,0.001065264
none,-0.029843755,-0.024811668,-0.253123283,-0.000532632,0,-0.000532632
none,-0.029843755,-0.024811668,-0.253123283,0,-0.000532632,0
none,-0.029843755,-0.024811668,-0.253123283,-0.001065264,0.001597897,-0.000532632
none,-0.029843755,-0.024811668,-0.253123283,0,0.000532632,0.000532632
none,-0.029843755,-0.024811668,-0.253123283,-0.000532632,0.000532632,-0.000532632
none,-0.029843755,-0.024811668,-0.253123283,0,0,-0.001065264
none,-0.029843755,-0.024811668,-0.253123283,-0.000532632,0.001065264,0
none,-0.045167424,-0.029221497,-0.258086205,0.000532632,0.000532632,-0.000532632
none,-0.045167424,-0.029221497,-0.258086205,-0.000532632,0.000532632,0
none,-0.045167424,-0.029221497,-0.258086205,0,0,-0.000532632
none,-0.045167424,-0.029221497,-0.258086205,-0.000532632,0.001065264,0.000532632
none,-0.045167424,-0.029221497,-0.258086205,-0.001065264,0,-0.000532632
none,-0.045167424,-0.029221497,-0.258086205,-0.000532632,0,0
none,-0.045167424,-0.029221497,-0.258086205,-0.001065264,0.000532632,-0.000532632
none,-0.045167424,-0.029221497,-0.258086205,0,-0.000532632,0.000532632
none,-0.033963524,-0.040527228,-0.265405655,0.001065264,0.001597897,-0.001065264
none,-0.033963524,-0.040527228,-0.265405655,-0.000532632,0.000532632,0.000532632
none,-0.033963524,-0.040527228,-0.265405655,0.000532632,0.000532632,0
none,-0.033963524,-0.040527228,-0.265405655,-0.000532632,-0.000532632,-0.001597897
none,-0.033963524,-0.040527228,-0.265405655,-0.000532632,0.000532632,-0.001065264
none,-0.033963524,-0.040527228,-0.265405655,-0.001065264,0.001597897,0
none,-0.033963524,-0.040527228,-0.265405655,-0.000532632,-0.000532632,0
none,-0.033963524,-0.040527228,-0.265405655,-0.000532632,0.001065264,-0.001065264
none,0.001136154,-0.020352019,-0.246273041,-0.000532632,0.000532632,0
none,0.001136154,-0.020352019,-0.246273041,0.000532632,0,0
none,0.001136154,-0.020352019,-0.246273041,0,0,-0.000532632
none,0.001136154,-0.020352019,-0.246273041,-0.001065264,0,-0.000532632
none,0.001136154,-0.020352019,-0.246273041,0,0.000532632,0
none,0.001136154,-0.020352019,-0.246273041,-0.000532632,0,-0.000532632
none,0.001136154,-0.020352019,-0.246273041,-0.000532632,0.001065264,-0.000532632
none,0.001136154,-0.020352019,-0.246273041,-0.000532632,0.000532632,-0.000532632
none,-0.018998411,0.006515013,-0.234313965,-0.000532632,-0.000532632,0.000532632
none,-0.018998411,0.006515013,-0.234313965,0,0.000532632,-0.001065264
none,-0.018998411,0.006515013,-0.234313965,0,0,-0.000532632
none,-0.018998411,0.006515013,-0.234313965,-0.000532632,0.000532632,0
none,-0.018998411,0.006515013,-0.234313965,0,0.000532632,-0.001065264
none,-0.018998411,0.006515013,-0.234313965,-0.000532632,0.000532632,-0.001065264
none,-0.018998411,0.006515013,-0.234313965,0.000532632,0,-0.000532632
none,-0.018998411,0.006515013,-0.234313965,0,0.001065264,-0.000532632
none,-0.016926561,0.019476198,-0.263056755,0,0.000532632,0
none,-0.016926561,0.019476198,-0.263056755,0,0.001065264,-0.001597897
none,-0.016926561,0.019476198,-0.263056755,-0.000532632,0.000532632,-0.001065264
none,-0.016926561,0.019476198,-0.263056755,0,0.000532632,-0.000532632
none,-0.016926561,0.019476198,-0.263056755,-0.000532632,0.001065264,0
none,-0.016926561,0.019476198,-0.263056755,0,0,0
none,-0.016926561,0.019476198,-0.263056755,-0.000532632,-0.000532632,-0.000532632
none,-0.016926561,0.019476198,-0.263056755,-0.000532632,-0.000532632,-0.000532632
none,0.017946146,-0.034616612,-0.258267403,0,0.000532632,0.000532632
none,0.017946146,-0.034616612,-0.258267403,-0.001065264,0.000532632,0
none,0.017946146,-0.034616612,-0.258267403,0.001065264,-0.000532632,0
none,0.017946146,-0.034616612,-0.258267403,0.000532632,0.000532632,0
none,0.017946146,-0.034616612,-0.258267403,0,0.000532632,0
none,0.017946146,-0.034616612,-0.258267403,0.000532632,0.001065264,0.000532632
none,0.017946146,-0.034616612,-0.258267403,0,0.000532632,-0.000532632
none,0.017946146,-0.034616612,-0.258267403,0,0.001065264,0
none,-0.024669692,-0.024275899,-0.255900383,0.000532632,0.000532632,0.000532632
none,-0.024669692,-0.024275899,-0.255900383,0,0.000532632,0
none,-0.024669692,-0.024275899,-0.255900383,0.000532632,0.000532632,0
none,-0.024669692,-0.024275899,-0.255900383,0.000532632,0.000532632,-0.000532632
none,-0.024669692,-0.024275899,-0.255900383,-0.000532632,0.000532632,-0.000532632
none,-0.024669692,-0.024275899,-0.255900383,-0.000532632,0.001597897,-0.001065264
none,-0.024669692,-0.024275899,-0.255900383,0,0.001065264,-0.000532632
none,-0.024669692,-0.024275899,-0.255900383,0.000532632,0.000532632,-0.000532632
none,-0.026000228,0.008889952,-0.241559029,0,-0.000532632,-0.000532632
none,-0.026000228,0.008889952,-0.241559029,-0.001065264,0.001597897,-0.001065264
none,-0.026000228,0.008889952,-0.241559029,-0.000532632,0.001597897,-0.000532632
none,-0.026000228,0.008889952,-0.241559029,0.000532632,0.001065264,-0.000532632
none,-0.026000228,0.008889952,-0.241559029,0.000532632,0.000532632,0
none,-0.026000228,0.008889952,-0.241559029,-0.000532632,0,-0.000532632
none,-0.026000228,0.008889952,-0.241559029,0,0.001597897,0.000532632
none,-0.026000228,0.008889952,-0.241559029,-0.000532632,-0.000532632,0
none,0.006167173,-0.007560386,-0.267903328,0,0.001597897,0.000532632
none,0.006167173,-0.007560386,-0.267903328,-0.000532632,0.000532632,0
none,0.006167173,-0.007560386,-0.267903328,-0.000532632,0.001065264,0
none,0.006167173,-0.007560386,-0.267903328,-0.001597897,0.000532632,0
none,0.006167173,-0.007560386,-0.267903328,-0.000532632,0.001065264,0
none,0.006167173,-0.007560386,-0.267903328,0,0.001065264,-0.000532632
none,0.006167173,-0.007560386,-0.267903328,0.000532632,0,-0.000532632
none,0.006167173,-0.007560386,-0.267903328,-0.000532632,0.001597897,-0.001065264
none,-0.028607529,0.000308976,-0.239197731,0.001065264,0.001065264,0.000532632
none,-0.028607529,0.000308976,-0.239197731,-0.001597897,0,-0.000532632
none,-0.028607529,0.000308976,-0.239197731,-0.001065264,0.001065264,0
none,-0.028607529,0.000308976,-0.239197731,-0.000532632,0.002130529,0.000532632
none,-0.028607529,0.000308976,-0.239197731,0,0.000532632,0
none,-0.028607529,0.000308976,-0.239197731,0.000532632,0,0.000532632
none,-0.028607529,0.000308976,-0.239197731,-0.000532632,-0.000532632,0
none,-0.028607529,0.000308976,-0.239197731,0,-0.000532632,-0.001597897
none,-0.018782113,-0.019258237,-0.267947197,0,0.000532632,-0.000532632
none,-0.018782113,-0.019258237,-0.267947197,0.000532632,0.001065264,-0.000532632
none,-0.018782113,-0.019258237,-0.267947197,0.000532632,0.001597897,-0.000532632
none,-0.018782113,-0.019258237,-0.267947197,-0.001065264,0.000532632,0
none,-0.018782113,-0.019258237,-0.267947197,-0.000532632,-0.001065264,0
none,-0.018782113,-0.019258237,-0.267947197,0,-0.000532632,0.000532632
none,-0.018782113,-0.019258237,-0.267947197,0,0.000532632,-0.000532632
none,-0.018782113,-0.019258237,-0.267947197,0,-0.001065264,-0.000532632
none,0.031820595,-0.038224265,-0.260742188,-0.000532632,0,0
none,0.031820595,-0.038224265,-0.260742188,-0.000532632,0,-0.001065264
none,0.031820595,-0.038224265,-0.260742188,0,0,0
none,0.031820595,-0.038224265,-0.260742188,-0.000532632,0,-0.000532632
none,0.031820595,-0.038224265,-0.260742188,0,0,0
none,0.031820595,-0.038224265,-0.260742188,0,0.001065264,0
none,0.031820595,-0.038224265,-0.260742188,0,0,-0.000532632
none,0.031820595,-0.038224265,-0.260742188,0,0,-0.000532632
none,-0.039075725,0.023000279,-0.248792648,-0.001065264,-0.001065264,0.001065264
none,-0.039075725,0.023000279,-0.248792648,-0.000532632,-0.001065264,0
none,-0.039075725,0.023000279,-0.248792648,-0.000532632,-0.001065264,-0.000532632
none,-0.039075725,0.023000279,-0.248792648,-0.000532632,0,0
none,-0.039075725,0.023000279,-0.248792648,0,-0.000532632,-0.001065264
none,-0.039075725,0.023000279,-0.248792648,-0.000532632,-0.001065264,0
none,-0.039075725,0.023000279,-0.248792648,0,0.001065264,-0.000532632
none,-0.039075725,0.023000279,-0.248792648,0.000532632,0,0
none,-0.007476486,0.023503624,-0.255976677,0.000532632,0.001065264,-0.000532632
none,-0.007476486,0.023503624,-0.255976677,0,0,0
none,-0.007476486,0.023503624,-0.255976677,0,0,-0.000532632
none,-0.007476486,0.023503624,-0.255976677,-0.000532632,-0.000532632,-0.001065264
none,-0.007476486,0.023503624,-0.255976677,-0.000532632,0,-0.000532632
none,-0.007476486,0.023503624,-0.255976677,0.000532632,-0.000532632,-0.000532632
none,-0.007476486,0.023503624,-0.255976677,0,-0.001065264,0
none,-0.007476486,0.023503624,-0.255976677,-0.085753791,-0.035153728,0.001597897
none,0.03944467,-0.007743058,0.203766823,0.002663161,0.013315806,0.001065264
none,0.03944467,-0.007743058,0.203766823,0.043675844,0.060720075,0
none,0.03944467,-0.007743058,0.203766823,-0.005326322,0.015446335,-0.001597897
none,0.03944467,-0.007743058,0.203766823,0.009054748,0.00958738,0
none,0.03944467,-0.007743058,0.203766823,0.003195793,0.002130529,0.000532632
none,0.03944467,-0.007743058,0.203766823,-0.001065264,-0.000532632,0
none,0.03944467,-0.007743058,0.203766823,-0.000532632,-0.000532632,0
none,0.03944467,-0.007743058,0.203766823,0.001065264,0.001065264,0.000532632
none,-0.01958473,-0.017127538,-0.246471405,0.000532632,0,0.001065264
none,-0.01958473,-0.017127538,-0.246471405,-0.001597897,-0.000532632,-0.000532632
none,-0.01958473,-0.017127538,-0.246471405,0,-0.001597897,0.000532632
none,-0.01958473,-0.017127538,-0.246471405,0.000532632,0.000532632,0.000532632
none,-0.01958473,-0.017127538,-0.246471405,0,-0.000532632,-0.001065264
none,-0.01958473,-0.017127538,-0.246471405,-0.001065264,-0.000532632,-0.001597897
none,-0.01958473,-0.017127538,-0.246471405,0.000532632,0,-0.000532632
none,-0.01958473,-0.017127538,-0.246471405,0,0.000532632,0
none,-0.000784796,0.044891432,-0.256046295,0,0,-0.000532632
none,-0.000784796,0.044891432,-0.256046295,-0.000532632,-0.000532632,-0.001065264
none,-0.000784796,0.044891432,-0.256046295,-0.000532632,0,0.000532632
none,-0.000784796,0.044891432,-0.256046295,0.001065264,0.001597897,0.000532632
none,-0.000784796,0.044891432,-0.256046295,-0.000532632,0.000532632,-0.000532632
none,-0.000784796,0.044891432,-0.256046295,0,-0.001065264,0
none,-0.000784796,0.044891432,-0.256046295,-0.000532632,0.000532632,-0.000532632
none,-0.000784796,0.044891432,-0.256046295,0,-0.001065264,-0.001065264
none,0.043078914,-0.009952046,-0.265586853,-0.000532632,-0.001065264,-0.000532632
none,0.043078914,-0.009952046,-0.265586853,-0.001065264,0,0.000532632
none,0.043078914,-0.009952046,-0.265586853,-0.001065264,0.001065264,-0.000532632
none,0.043078914,-0.009952046,-0.265586853,-0.000532632,0.001065264,-0.001065264
none,0.043078914,-0.009952046,-0.265586853,0,0.001065264,0
none,0.043078914,-0.009952046,-0.265586853,0,-0.000532632,-0.001065264
none,0.043078914,-0.009952046,-0.265586853,0.001065264,-0.001065264,-0.001065264
none,0.043078914,-0.009952046,-0.265586853,0,0,0
none,-0.02454045,-0.039999079,-0.251234055,-0.001065264,0.000532632,-0.000532632
none,-0.02454045,-0.039999079,-0.251234055,-0.000532632,-0.001597897,0.000532632
none,-0.02454045,-0.039999079,-0.251234055,0,-0.001065264,0.002130529
none,-0.02454045,-0.039999079,-0.251234055,0,0.000532632,0.000532632
none,-0.02454045,-0.039999079,-0.251234055,0,0.000532632,-0.001065264
